DATE COMMITTED,TIME COMMITTED,CRIME,ADDRESS
23/12/2020,11:10:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
06/01/2021,8:35:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
07/01/2021,8:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
04/02/2021,8:30:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
14/02/2021,3:30:00 AM,"CONSUMMATED - AN ACT INCREASING THE PENALTIES FOR ILLEGAL NUMBERS GAMES, AMENDING CERTAIN PROVISIONS OF PRESIDENTIAL DECREE NO. 1602, AND FOR OTHER PURPOSES-RA 9287 amending pd 1602 (Republic Act)","Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
25/03/2021,2:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
26/03/2021,2:30:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
02/04/2021,3:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
02/04/2021,3:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
02/04/2021,3:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
02/04/2021,3:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
29/04/2021,4:10:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
29/04/2021,4:10:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
01/05/2021,6:30:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bagong Pook"
12/05/2021,6:30:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
16/06/2021,9:00:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
14/06/2021,4:00:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
03/08/2021,4:00:00 AM,CONSUMMATED - NEW ANTI-CARNAPPING ACT OF 2016 - MC-RA 10883 (repealed RA 6539) (Republic Act),"Pila , Bagong Pook"
20/09/2021,1:30:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bagong Pook"
28/09/2021,8:00:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bagong Pook"
06/11/2021,2:20:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
10/11/2021,2:25:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bagong Pook"
25/11/2021,6:30:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bagong Pook"
25/11/2021,6:30:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bagong Pook"
25/11/2021,6:30:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bagong Pook"
25/11/2021,6:30:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bagong Pook"
22/07/2016,8:45:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bukal"
16/04/2020,5:20:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bukal"
16/04/2020,5:20:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bukal"
16/04/2020,5:20:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bukal"
16/04/2020,5:20:00 PM,CONSUMMATED - ANTI-GAMBLING LAW -PD 1602  (Presedential Decree),"Pila , Bukal"
24/04/2021,12:30:00 PM,CONSUMMATED - COCKFIGHTING LAW OF 1974-PD 449 (Presedential Decree),"Pila , Bukal"
24/04/2021,12:30:00 PM,CONSUMMATED - COCKFIGHTING LAW OF 1974-PD 449 (Presedential Decree),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/05/2021,11:00:00 AM,CONSUMMATED - CITY/MUNICIPAL ORDINANCE- (Ordinances),"Pila , Bukal"
06/04/2016,2:00:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
03/03/2016,4:00:00 AM,CONSUMMATED - THEFT -RPC Art. 308 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
03/03/2016,4:00:00 AM,CONSUMMATED - THEFT -RPC Art. 308 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
26/04/2016,2:00:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
26/04/2016,2:30:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
18/03/2016,8:40:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
22/03/2016,9:40:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
06/02/2016,11:00:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
10/02/2016,9:00:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
10/02/2016,9:00:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
10/02/2016,9:00:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
09/05/2016,2:00:00 PM,CONSUMMATED - ROBBERY -RPC Art. 293  (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
08/05/2016,3:30:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
01/01/2016,11:20:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
26/02/2016,8:50:00 PM,CONSUMMATED - MALICIOUS MISCHIEF -RPC Art. 327 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
14/02/2016,9:00:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
29/05/2016,6:39:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
29/05/2016,8:00:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
28/05/2016,6:50:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
08/06/2016,6:50:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
11/06/2016,12:45:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
13/06/2016,4:50:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
17/06/2016,7:30:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
18/06/2016,5:30:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
07/07/2016,9:20:00 PM,CONSUMMATED - MALICIOUS MISCHIEF -RPC Art. 327 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
18/07/2016,1:45:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
26/07/2016,11:00:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
23/07/2016,2:30:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
02/08/2016,6:45:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
14/08/2016,10:30:00 PM,CONSUMMATED - SERIOUS PHYSICAL INJURIES -RPC Art. 263  (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
14/08/2016,10:30:00 PM,CONSUMMATED - SERIOUS PHYSICAL INJURIES -RPC Art. 263  (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
17/08/2016,8:10:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
19/08/2016,2:15:00 AM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
30/08/2016,2:00:00 PM,FRUSTRATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
04/09/2016,4:40:00 PM,"CONSUMMATED - COMPREHENSIVE LAW ON FIREARMS AND AMMUNITION -RA 10591 (covers RA 9516, RA 8294 and PD 1866) (Republic Act)","Pila , Bulilan Norte (Pob.)"
04/09/2016,4:40:00 PM,"CONSUMMATED - COMPREHENSIVE LAW ON FIREARMS AND AMMUNITION -RA 10591 (covers RA 9516, RA 8294 and PD 1866) (Republic Act)","Pila , Bulilan Norte (Pob.)"
09/09/2016,1:16:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
09/09/2016,4:16:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
18/09/2016,8:30:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
24/10/2016,11:45:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
29/10/2016,11:10:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
01/11/2016,1:00:00 AM,"CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property)","Pila , Bulilan Norte (Pob.)"
10/11/2016,5:30:00 AM,CONSUMMATED - ROBBERY -RPC Art. 293  (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
09/11/2016,9:20:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
03/12/2016,9:30:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
09/12/2016,11:30:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
15/12/2016,4:00:00 AM,CONSUMMATED - NEW ANTI-CARNAPPING ACT OF 2016 - MC-RA 10883 (repealed RA 6539) (Republic Act),"Pila , Bulilan Norte (Pob.)"
18/08/2016,9:15:00 PM,"CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - SALE, TRADING, ADMINISTRATION, DISPENSATION, DELIVERY, DISTRIBUTION AND TRANSPORTATION OF DANGEROUS DRUGS-RA 9165 Article II Section 5 para 1 (Republic Act),CONSUMMATED - COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002 - POSSESSION OF DANGEROUS DRUGS-RA 9165 Article II Section 11 (Republic Act)","Pila , Bulilan Norte (Pob.)"
20/12/2016,10:30:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
30/12/2016,8:20:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
14/01/2017,8:10:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
17/01/2017,2:50:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
25/01/2017,5:20:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
10/02/2017,10:15:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
20/02/2017,6:10:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
21/02/2017,12:58:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
27/02/2017,11:55:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
01/03/2017,7:00:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO PHYSICAL INJURY-RPC Art 365 (Crimes Against Persons),"Pila , Bulilan Norte (Pob.)"
06/03/2017,3:25:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
13/03/2017,7:00:00 AM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
18/03/2017,1:30:00 PM,CONSUMMATED - RECKLESS IMPRUDENCE RESULTING TO DAMAGE TO PROPERTY-RPC Art 365 (Crimes Against Property),"Pila , Bulilan Norte (Pob.)"
